car_name,speed,safe_distance,reaction_time,time
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.28,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.13,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.28,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.13,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.2,23.23,0.83,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.15,23.23,0.83,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.15,23.23,0.83,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.15,23.23,0.83,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.15,23.23,0.83,0.0
AggressiveCar1,5.08,22.92,0.69,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
AggressiveCar1,5.23,23.59,0.32,0.0
